lot_id,date,plant_line,shift,part_id,supplier_id,qty_received,qty_used
L0001023,2025-08-14,BodyLine-2,B,P0010,S005,159,112
L0001024,2025-08-14,BodyLine-2,B,P0033,S001,464,415
L0001025,2025-08-15,ChassisLine-1,A,P0015,S008,398,383
L0001026,2025-08-15,ChassisLine-1,C,P0032,S005,300,231
L0001027,2025-08-15,ChassisLine-1,A,P0013,S007,458,347
L0001028,2025-08-15,TrimLine-1,A,P0002,S010,427,349
L0001029,2025-08-15,ChassisLine-1,B,P0028,S003,128,90
L0001030,2025-08-15,BodyLine-2,A,P0031,S006,240,170
L0001031,2025-08-15,BodyLine-1,B,P0007,S007,485,392
L0001032,2025-08-15,ChassisLine-1,B,P0020,S006,173,166
L0001033,2025-08-15,ChassisLine-1,B,P0008,S007,496,441
L0001034,2025-08-15,Final-1,A,P0027,S005,291,254
L0001035,2025-08-15,BodyLine-1,B,P0010,S005,426,409
L0001036,2025-08-15,Final-1,A,P0012,S001,214,168
L0001037,2025-08-15,TrimLine-1,A,P0018,S001,233,182
L0001038,2025-08-15,Final-1,C,P0025,S010,138,109
L0001039,2025-08-15,TrimLine-1,A,P0011,S011,440,361
L0001040,2025-08-15,TrimLine-1,C,P0023,S004,416,354
L0001041,2025-08-15,BodyLine-1,A,P0005,S001,422,341
L0001042,2025-08-15,BodyLine-1,A,P0016,S007,217,169
L0001043,2025-08-16,BodyLine-2,B,P0009,S011,147,125
L0001044,2025-08-16,Final-1,B,P0011,S011,469,357
L0001045,2025-08-16,Final-1,B,P0014,S003,141,137
L0001046,2025-08-16,TrimLine-1,A,P0025,S010,321,300
L0001047,2025-08-16,BodyLine-1,A,P0005,S001,197,145
L0001048,2025-08-16,BodyLine-2,B,P0035,S005,509,385
L0001049,2025-08-16,ChassisLine-1,A,P0032,S005,150,120
L0001050,2025-08-16,ChassisLine-1,B,P0021,S001,122,101
L0001051,2025-08-16,TrimLine-1,A,P0001,S001,476,394
L0001052,2025-08-16,ChassisLine-1,B,P0013,S007,513,366
L0001053,2025-08-16,Final-1,A,P0030,S009,504,442
L0001054,2025-08-16,Final-1,A,P0004,S006,128,117
L0001055,2025-08-16,ChassisLine-1,A,P0022,S012,307,266
L0001056,2025-08-16,BodyLine-2,B,P0010,S005,236,202
L0001057,2025-08-16,BodyLine-1,B,P0034,S006,477,391
L0001058,2025-08-16,TrimLine-1,C,P0006,S009,220,185
L0001059,2025-08-16,BodyLine-1,C,P0019,S006,254,221
L0001060,2025-08-16,ChassisLine-1,C,P0028,S003,504,424
L0001061,2025-08-16,Final-1,B,P0012,S001,476,368
L0001062,2025-08-16,ChassisLine-1,B,P0017,S001,249,240
L0001063,2025-08-16,ChassisLine-1,B,P0020,S006,403,348
L0001064,2025-08-16,Final-1,B,P0029,S008,153,113
L0001065,2025-08-16,TrimLine-1,A,P0018,S001,145,104
L0001066,2025-08-16,ChassisLine-1,A,P0036,S003,467,388
L0001067,2025-08-16,ChassisLine-1,B,P0015,S008,277,213
L0001068,2025-08-16,BodyLine-1,C,P0026,S012,122,113
L0001069,2025-08-16,BodyLine-1,B,P0031,S006,348,303
L0001070,2025-08-17,Final-1,A,P0030,S009,123,108
L0001071,2025-08-17,Final-1,B,P0002,S010,457,330
L0001072,2025-08-17,ChassisLine-1,B,P0020,S006,381,359
L0001073,2025-08-17,BodyLine-2,C,P0026,S012,353,318
L0001074,2025-08-17,ChassisLine-1,A,P0028,S003,156,129
L0001075,2025-08-17,ChassisLine-1,A,P0008,S007,466,358
L0001076,2025-08-17,BodyLine-1,B,P0033,S001,340,286
L0001077,2025-08-17,BodyLine-2,C,P0035,S005,506,417
L0001078,2025-08-17,BodyLine-2,A,P0009,S011,189,146
L0001079,2025-08-17,BodyLine-2,B,P0005,S001,140,99
L0001080,2025-08-17,BodyLine-2,A,P0003,S007,418,298
L0001081,2025-08-17,Final-1,A,P0006,S009,196,154
L0001082,2025-08-17,ChassisLine-1,C,P0032,S005,284,234
L0001083,2025-08-17,BodyLine-2,B,P0010,S005,434,353
L0001084,2025-08-17,TrimLine-1,B,P0011,S011,362,262
L0001085,2025-08-17,TrimLine-1,A,P0004,S006,316,308
L0001086,2025-08-17,TrimLine-1,A,P0025,S010,456,323
L0001087,2025-08-17,BodyLine-2,A,P0031,S006,243,233
L0001088,2025-08-17,Final-1,C,P0001,S001,149,112
L0001089,2025-08-17,ChassisLine-1,A,P0015,S008,368,313
L0001090,2025-08-17,BodyLine-2,A,P0007,S007,406,315
L0001091,2025-08-17,BodyLine-1,A,P0016,S007,401,305
L0001092,2025-08-17,BodyLine-1,A,P0019,S006,466,439
L0001093,2025-08-17,TrimLine-1,B,P0027,S005,216,155
L0001094,2025-08-17,Final-1,A,P0023,S004,227,186
L0001095,2025-08-17,TrimLine-1,C,P0014,S003,457,365
L0001096,2025-08-17,TrimLine-1,A,P0029,S008,212,186
L0001097,2025-08-18,TrimLine-1,C,P0029,S008,467,419
L0001098,2025-08-18,BodyLine-1,B,P0009,S011,240,228
L0001099,2025-08-18,BodyLine-2,A,P0007,S007,377,351
L0001100,2025-08-18,ChassisLine-1,B,P0032,S005,378,313
L0001101,2025-08-18,ChassisLine-1,B,P0017,S001,133,116
L0001102,2025-08-18,TrimLine-1,C,P0006,S009,319,249
L0001103,2025-08-18,BodyLine-1,A,P0031,S006,396,365
L0001104,2025-08-18,ChassisLine-1,A,P0036,S003,161,119
L0001105,2025-08-18,BodyLine-2,B,P0034,S006,386,299
L0001106,2025-08-18,BodyLine-1,B,P0003,S007,467,435
L0001107,2025-08-18,BodyLine-2,B,P0005,S001,246,215
L0001108,2025-08-18,ChassisLine-1,A,P0021,S001,297,282
L0001109,2025-08-18,ChassisLine-1,A,P0020,S006,274,254
L0001110,2025-08-18,ChassisLine-1,C,P0015,S008,301,253
L0001111,2025-08-18,BodyLine-1,B,P0016,S007,230,202
L0001112,2025-08-18,TrimLine-1,A,P0001,S001,305,280
L0001113,2025-08-18,BodyLine-1,C,P0010,S005,129,115
L0001114,2025-08-18,BodyLine-1,A,P0019,S006,283,225
L0001115,2025-08-18,Final-1,A,P0027,S005,448,394
L0001116,2025-08-18,TrimLine-1,B,P0002,S010,335,258
L0001117,2025-08-18,ChassisLine-1,B,P0022,S012,420,363
L0001118,2025-08-18,ChassisLine-1,A,P0013,S007,158,113
L0001119,2025-08-18,BodyLine-1,B,P0035,S005,142,116
L0001120,2025-08-18,ChassisLine-1,B,P0008,S007,491,431
L0001121,2025-08-18,BodyLine-2,A,P0026,S012,492,390
L0001122,2025-08-18,Final-1,A,P0004,S006,311,248
L0001123,2025-08-18,TrimLine-1,B,P0025,S010,399,313
L0001124,2025-08-19,ChassisLine-1,B,P0013,S007,362,317
L0001125,2025-08-19,TrimLine-1,B,P0025,S010,156,142
L0001126,2025-08-19,BodyLine-1,B,P0005,S001,467,351
L0001127,2025-08-19,TrimLine-1,A,P0001,S001,355,332
L0001128,2025-08-19,Final-1,B,P0006,S009,163,123
L0001129,2025-08-19,TrimLine-1,A,P0027,S005,259,224
L0001130,2025-08-19,ChassisLine-1,A,P0036,S003,130,117
L0001131,2025-08-19,BodyLine-1,B,P0019,S006,406,362
L0001132,2025-08-19,BodyLine-2,A,P0033,S001,260,191
L0001133,2025-08-19,ChassisLine-1,A,P0028,S003,390,366
L0001134,2025-08-19,ChassisLine-1,C,P0021,S001,371,278
L0001135,2025-08-19,BodyLine-2,A,P0035,S005,360,284
L0001136,2025-08-19,ChassisLine-1,B,P0017,S001,148,130
L0001137,2025-08-19,Final-1,A,P0011,S011,419,393
L0001138,2025-08-19,BodyLine-2,A,P0009,S011,127,104
L0001139,2025-08-19,ChassisLine-1,A,P0022,S012,501,380
L0001140,2025-08-19,TrimLine-1,B,P0002,S010,190,145
L0001141,2025-08-19,Final-1,A,P0024,S002,313,220
L0001142,2025-08-20,ChassisLine-1,A,P0036,S003,289,238
L0001143,2025-08-20,BodyLine-1,A,P0009,S011,159,118
L0001144,2025-08-20,ChassisLine-1,C,P0008,S007,448,358
L0001145,2025-08-20,ChassisLine-1,B,P0028,S003,334,297
L0001146,2025-08-20,BodyLine-2,A,P0010,S005,127,92
L0001147,2025-08-20,BodyLine-2,B,P0033,S001,476,409
L0001148,2025-08-20,ChassisLine-1,B,P0021,S001,516,384
L0001149,2025-08-20,ChassisLine-1,B,P0013,S007,389,379
L0001150,2025-08-20,BodyLine-1,A,P0031,S006,172,163
L0001151,2025-08-20,BodyLine-2,A,P0019,S006,432,412
L0001152,2025-08-20,BodyLine-2,A,P0034,S006,315,239
L0001153,2025-08-20,BodyLine-2,A,P0007,S007,424,407
L0001154,2025-08-20,Final-1,C,P0001,S001,501,384
L0001155,2025-08-20,BodyLine-1,A,P0003,S007,146,113
L0001156,2025-08-20,ChassisLine-1,C,P0017,S001,373,336
L0001157,2025-08-20,BodyLine-1,A,P0035,S005,436,388
L0001158,2025-08-20,ChassisLine-1,A,P0022,S012,303,220
L0001159,2025-08-20,ChassisLine-1,C,P0020,S006,494,481
L0001160,2025-08-20,Final-1,B,P0025,S010,162,114
L0001161,2025-08-20,Final-1,C,P0006,S009,190,133
L0001162,2025-08-20,TrimLine-1,A,P0018,S001,226,200
L0001163,2025-08-20,BodyLine-2,A,P0016,S007,153,140
L0001164,2025-08-20,TrimLine-1,A,P0004,S006,510,494
L0001165,2025-08-20,Final-1,B,P0027,S005,328,249
L0001166,2025-08-20,TrimLine-1,B,P0014,S003,271,196
L0001167,2025-08-20,Final-1,A,P0023,S004,287,242
L0001168,2025-08-20,TrimLine-1,A,P0024,S002,514,477
L0001169,2025-08-21,BodyLine-1,B,P0003,S007,219,209
L0001170,2025-08-21,BodyLine-2,A,P0005,S001,157,110
L0001171,2025-08-21,ChassisLine-1,C,P0021,S001,214,162
L0001172,2025-08-21,BodyLine-1,A,P0034,S006,368,348
L0001173,2025-08-21,BodyLine-1,C,P0019,S006,460,433
L0001174,2025-08-21,ChassisLine-1,A,P0032,S005,424,313
L0001175,2025-08-21,ChassisLine-1,A,P0017,S001,127,109
L0001176,2025-08-21,BodyLine-2,B,P0026,S012,199,181
L0001177,2025-08-21,ChassisLine-1,B,P0028,S003,178,168
L0001178,2025-08-21,BodyLine-1,A,P0007,S007,445,384
L0001179,2025-08-21,Final-1,A,P0014,S003,296,212
L0001180,2025-08-21,TrimLine-1,A,P0024,S002,223,210
L0001181,2025-08-21,ChassisLine-1,B,P0020,S006,299,250
L0001182,2025-08-21,ChassisLine-1,A,P0036,S003,370,296
L0001183,2025-08-21,TrimLine-1,B,P0018,S001,296,218
L0001184,2025-08-21,BodyLine-2,C,P0031,S006,440,363
L0001185,2025-08-21,BodyLine-2,B,P0016,S007,407,355
L0001186,2025-08-21,TrimLine-1,B,P0029,S008,218,208
L0001187,2025-08-21,ChassisLine-1,A,P0022,S012,500,424
L0001188,2025-08-21,BodyLine-1,B,P0033,S001,479,396
L0001189,2025-08-22,BodyLine-2,A,P0034,S006,252,193
L0001190,2025-08-22,ChassisLine-1,C,P0017,S001,275,248
L0001191,2025-08-22,BodyLine-1,B,P0007,S007,458,402
L0001192,2025-08-22,TrimLine-1,A,P0012,S001,213,150
L0001193,2025-08-22,BodyLine-2,A,P0003,S007,400,313
L0001194,2025-08-22,ChassisLine-1,A,P0032,S005,519,488
L0001195,2025-08-22,BodyLine-2,A,P0005,S001,183,168
L0001196,2025-08-22,ChassisLine-1,B,P0015,S008,137,119
L0001197,2025-08-22,Final-1,C,P0002,S010,369,272
L0001198,2025-08-22,TrimLine-1,A,P0014,S003,498,405
L0001199,2025-08-22,Final-1,A,P0023,S004,152,135
L0001200,2025-08-22,TrimLine-1,A,P0027,S005,494,459
L0001201,2025-08-22,BodyLine-2,A,P0016,S007,336,326
L0001202,2025-08-22,BodyLine-1,A,P0035,S005,500,356
L0001203,2025-08-22,ChassisLine-1,A,P0036,S003,335,288
L0001204,2025-08-22,Final-1,A,P0011,S011,513,436
L0001205,2025-08-22,ChassisLine-1,B,P0020,S006,223,199
L0001206,2025-08-22,TrimLine-1,C,P0001,S001,386,359
L0001207,2025-08-22,BodyLine-1,C,P0019,S006,481,432
L0001208,2025-08-23,Final-1,B,P0025,S010,262,241
L0001209,2025-08-23,BodyLine-2,A,P0005,S001,229,180
L0001210,2025-08-23,Final-1,C,P0029,S008,170,160
L0001211,2025-08-23,ChassisLine-1,B,P0008,S007,170,139
L0001212,2025-08-23,ChassisLine-1,A,P0013,S007,400,364
L0001213,2025-08-23,BodyLine-2,B,P0031,S006,151,113
L0001214,2025-08-23,ChassisLine-1,B,P0020,S006,264,211
L0001215,2025-08-23,ChassisLine-1,B,P0032,S005,353,325
L0001216,2025-08-23,ChassisLine-1,A,P0022,S012,442,351
L0001217,2025-08-23,TrimLine-1,B,P0004,S006,281,222
L0001218,2025-08-23,TrimLine-1,B,P0024,S002,487,464
L0001219,2025-08-23,ChassisLine-1,B,P0021,S001,331,283
L0001220,2025-08-23,BodyLine-2,A,P0010,S005,499,391
L0001221,2025-08-23,Final-1,A,P0002,S010,298,226
L0001222,2025-08-23,TrimLine-1,A,P0023,S004,337,287
L0001223,2025-08-23,BodyLine-2,A,P0034,S006,388,307
L0001224,2025-08-23,ChassisLine-1,A,P0028,S003,193,161
L0001225,2025-08-23,BodyLine-1,B,P0019,S006,202,181
L0001226,2025-08-23,TrimLine-1,A,P0011,S011,315,245
L0001227,2025-08-23,TrimLine-1,B,P0001,S001,201,182
L0001228,2025-08-23,ChassisLine-1,A,P0036,S003,461,348
L0001229,2025-08-23,BodyLine-2,A,P0035,S005,448,367
L0001230,2025-08-23,TrimLine-1,C,P0030,S009,170,127
L0001231,2025-08-23,BodyLine-2,A,P0003,S007,169,124
L0001232,2025-08-23,ChassisLine-1,B,P0015,S008,413,326
L0001233,2025-08-23,Final-1,B,P0006,S009,227,203
L0001234,2025-08-24,ChassisLine-1,B,P0036,S003,314,274
L0001235,2025-08-24,BodyLine-1,A,P0010,S005,389,291
L0001236,2025-08-24,TrimLine-1,A,P0025,S010,194,137
L0001237,2025-08-24,BodyLine-1,B,P0003,S007,518,459
L0001238,2025-08-24,BodyLine-1,A,P0005,S001,240,184
L0001239,2025-08-24,TrimLine-1,C,P0001,S001,144,118
L0001240,2025-08-24,BodyLine-1,C,P0031,S006,142,105
L0001241,2025-08-24,TrimLine-1,B,P0030,S009,231,185
L0001242,2025-08-24,BodyLine-1,B,P0019,S006,330,282
L0001243,2025-08-24,Final-1,B,P0011,S011,252,227
L0001244,2025-08-24,BodyLine-1,A,P0007,S007,166,161
L0001245,2025-08-24,ChassisLine-1,A,P0015,S008,441,406
L0001246,2025-08-24,ChassisLine-1,A,P0028,S003,174,128
L0001247,2025-08-24,ChassisLine-1,B,P0020,S006,377,346
L0001248,2025-08-24,TrimLine-1,A,P0004,S006,375,277
L0001249,2025-08-24,BodyLine-2,B,P0016,S007,203,146
L0001250,2025-08-24,BodyLine-2,A,P0034,S006,477,403
L0001251,2025-08-24,Final-1,A,P0024,S002,499,385
L0001252,2025-08-24,ChassisLine-1,A,P0017,S001,280,200
L0001253,2025-08-24,Final-1,C,P0014,S003,397,304
L0001254,2025-08-24,ChassisLine-1,C,P0008,S007,161,124
L0001255,2025-08-24,BodyLine-2,A,P0033,S001,269,199
L0001256,2025-08-24,ChassisLine-1,B,P0032,S005,402,302
L0001257,2025-08-24,BodyLine-2,A,P0009,S011,138,103
L0001258,2025-08-25,BodyLine-2,B,P0003,S007,512,372
L0001259,2025-08-25,Final-1,C,P0014,S003,496,440
L0001260,2025-08-25,BodyLine-1,A,P0019,S006,339,293
L0001261,2025-08-25,TrimLine-1,B,P0001,S001,368,320
L0001262,2025-08-25,ChassisLine-1,B,P0015,S008,336,310
L0001263,2025-08-25,ChassisLine-1,B,P0036,S003,144,116
L0001264,2025-08-25,BodyLine-2,B,P0007,S007,467,383
L0001265,2025-08-25,BodyLine-1,A,P0016,S007,241,218
L0001266,2025-08-25,Final-1,C,P0025,S010,247,232
L0001267,2025-08-25,BodyLine-1,A,P0009,S011,388,347
L0001268,2025-08-25,Final-1,A,P0027,S005,433,356
L0001269,2025-08-25,ChassisLine-1,B,P0008,S007,431,347
L0001270,2025-08-25,Final-1,B,P0004,S006,125,100
L0001271,2025-08-25,ChassisLine-1,B,P0021,S001,459,435
L0001272,2025-08-25,BodyLine-2,B,P0033,S001,227,176
L0001273,2025-08-25,Final-1,A,P0011,S011,344,271
L0001274,2025-08-25,ChassisLine-1,A,P0013,S007,394,353
L0001275,2025-08-25,BodyLine-1,B,P0005,S001,263,190
L0001276,2025-08-25,ChassisLine-1,A,P0022,S012,500,407
L0001277,2025-08-25,Final-1,C,P0002,S010,214,208
L0001278,2025-08-25,BodyLine-2,B,P0034,S006,323,248
L0001279,2025-08-25,TrimLine-1,A,P0029,S008,285,260
L0001280,2025-08-25,BodyLine-1,A,P0035,S005,218,191
L0001281,2025-08-25,TrimLine-1,B,P0024,S002,442,411
L0001282,2025-08-25,BodyLine-1,A,P0026,S012,512,443
L0001283,2025-08-25,TrimLine-1,C,P0012,S001,190,133
L0001284,2025-08-25,ChassisLine-1,A,P0020,S006,430,354
L0001285,2025-08-26,BodyLine-2,B,P0035,S005,417,324
L0001286,2025-08-26,BodyLine-2,A,P0034,S006,379,342
L0001287,2025-08-26,TrimLine-1,B,P0012,S001,516,401
L0001288,2025-08-26,ChassisLine-1,B,P0008,S007,251,206
L0001289,2025-08-26,ChassisLine-1,C,P0032,S005,393,372
L0001290,2025-08-26,ChassisLine-1,A,P0020,S006,469,336
L0001291,2025-08-26,TrimLine-1,B,P0023,S004,129,105
L0001292,2025-08-26,BodyLine-1,C,P0010,S005,139,111
L0001293,2025-08-26,Final-1,A,P0030,S009,170,133
L0001294,2025-08-26,BodyLine-2,A,P0019,S006,486,443
L0001295,2025-08-26,BodyLine-2,A,P0003,S007,474,350
L0001296,2025-08-26,ChassisLine-1,A,P0022,S012,354,257
L0001297,2025-08-26,BodyLine-1,C,P0026,S012,426,330
L0001298,2025-08-26,Final-1,A,P0027,S005,413,318
L0001299,2025-08-26,ChassisLine-1,B,P0021,S001,150,130
L0001300,2025-08-26,Final-1,B,P0002,S010,165,121
L0001301,2025-08-26,Final-1,B,P0004,S006,405,312
L0001302,2025-08-26,Final-1,A,P0006,S009,358,304
L0001303,2025-08-26,TrimLine-1,B,P0024,S002,292,227
L0001304,2025-08-26,Final-1,B,P0018,S001,518,425
L0001305,2025-08-26,BodyLine-2,B,P0033,S001,360,258
L0001306,2025-08-26,ChassisLine-1,B,P0028,S003,212,189
L0001307,2025-08-27,BodyLine-2,A,P0026,S012,130,99
L0001308,2025-08-27,BodyLine-1,C,P0033,S001,363,354
L0001309,2025-08-27,BodyLine-2,A,P0035,S005,153,141
L0001310,2025-08-27,Final-1,B,P0018,S001,231,184
L0001311,2025-08-27,ChassisLine-1,C,P0032,S005,202,190
L0001312,2025-08-27,Final-1,B,P0014,S003,323,247
L0001313,2025-08-27,BodyLine-1,B,P0010,S005,203,172
L0001314,2025-08-27,Final-1,A,P0027,S005,204,188
L0001315,2025-08-27,BodyLine-2,B,P0009,S011,483,436
L0001316,2025-08-27,ChassisLine-1,B,P0017,S001,152,121
L0001317,2025-08-27,TrimLine-1,B,P0030,S009,480,460
L0001318,2025-08-27,ChassisLine-1,A,P0020,S006,150,115
L0001319,2025-08-27,Final-1,B,P0024,S002,144,129
L0001320,2025-08-27,ChassisLine-1,B,P0028,S003,508,435
L0001321,2025-08-27,TrimLine-1,A,P0023,S004,317,229
L0001322,2025-08-27,BodyLine-1,B,P0016,S007,216,196
L0001323,2025-08-27,ChassisLine-1,B,P0036,S003,246,205
L0001324,2025-08-27,BodyLine-1,A,P0005,S001,424,381
L0001325,2025-08-27,BodyLine-1,B,P0019,S006,120,93
L0001326,2025-08-27,Final-1,A,P0029,S008,249,187
L0001327,2025-08-27,BodyLine-1,B,P0003,S007,195,181
L0001328,2025-08-27,BodyLine-1,B,P0007,S007,274,224
L0001329,2025-08-27,TrimLine-1,B,P0002,S010,300,224
L0001330,2025-08-27,ChassisLine-1,B,P0022,S012,509,473
L0001331,2025-08-27,Final-1,A,P0006,S009,268,230
L0001332,2025-08-27,ChassisLine-1,C,P0008,S007,496,449
L0001333,2025-08-27,Final-1,B,P0012,S001,295,234
L0001334,2025-08-28,TrimLine-1,B,P0011,S011,410,299
L0001335,2025-08-28,BodyLine-1,B,P0010,S005,431,394
L0001336,2025-08-28,Final-1,A,P0014,S003,443,396
L0001337,2025-08-28,BodyLine-2,B,P0007,S007,295,274
L0001338,2025-08-28,BodyLine-1,B,P0026,S012,329,289
L0001339,2025-08-28,Final-1,B,P0023,S004,363,280
L0001340,2025-08-28,Final-1,A,P0018,S001,422,389
L0001341,2025-08-28,ChassisLine-1,B,P0015,S008,477,369
L0001342,2025-08-28,BodyLine-1,A,P0034,S006,409,308
L0001343,2025-08-28,TrimLine-1,C,P0002,S010,155,146
L0001344,2025-08-28,Final-1,A,P0029,S008,291,251
L0001345,2025-08-28,ChassisLine-1,B,P0017,S001,179,128
L0001346,2025-08-28,ChassisLine-1,B,P0020,S006,343,274
L0001347,2025-08-28,BodyLine-1,A,P0035,S005,418,397
L0001348,2025-08-28,ChassisLine-1,B,P0008,S007,252,228
L0001349,2025-08-28,BodyLine-2,B,P0019,S006,231,203
L0001350,2025-08-28,BodyLine-2,A,P0031,S006,145,106
L0001351,2025-08-28,BodyLine-1,B,P0033,S001,329,310
L0001352,2025-08-28,Final-1,B,P0030,S009,382,292
L0001353,2025-08-28,TrimLine-1,A,P0004,S006,326,276
L0001354,2025-08-28,ChassisLine-1,A,P0022,S012,238,212
L0001355,2025-08-28,BodyLine-1,A,P0003,S007,436,331
L0001356,2025-08-28,TrimLine-1,A,P0024,S002,233,194
L0001357,2025-08-28,BodyLine-2,B,P0016,S007,262,242
L0001358,2025-08-28,Final-1,A,P0025,S010,129,90
L0001359,2025-08-29,BodyLine-1,B,P0016,S007,209,200
L0001360,2025-08-29,ChassisLine-1,A,P0032,S005,184,157
L0001361,2025-08-29,TrimLine-1,A,P0030,S009,475,391
L0001362,2025-08-29,BodyLine-2,A,P0010,S005,165,141
L0001363,2025-08-29,BodyLine-1,C,P0009,S011,414,392
L0001364,2025-08-29,ChassisLine-1,A,P0013,S007,419,410
L0001365,2025-08-29,BodyLine-1,A,P0019,S006,343,269
L0001366,2025-08-29,ChassisLine-1,A,P0017,S001,120,99
L0001367,2025-08-29,TrimLine-1,A,P0006,S009,486,403
L0001368,2025-08-29,TrimLine-1,A,P0001,S001,183,136
L0001369,2025-08-29,BodyLine-1,C,P0007,S007,337,288
L0001370,2025-08-29,BodyLine-2,A,P0026,S012,472,373
L0001371,2025-08-29,ChassisLine-1,A,P0022,S012,468,410
L0001372,2025-08-29,BodyLine-2,B,P0033,S001,442,328
L0001373,2025-08-29,ChassisLine-1,A,P0028,S003,245,211
L0001374,2025-08-29,TrimLine-1,A,P0002,S010,312,262
L0001375,2025-08-29,Final-1,A,P0023,S004,280,257
L0001376,2025-08-29,BodyLine-2,B,P0031,S006,460,392
L0001377,2025-08-29,ChassisLine-1,B,P0021,S001,241,195
L0001378,2025-08-29,BodyLine-1,B,P0035,S005,223,172
L0001379,2025-08-30,ChassisLine-1,C,P0008,S007,265,214
L0001380,2025-08-30,Final-1,B,P0006,S009,183,177
L0001381,2025-08-30,BodyLine-1,B,P0005,S001,407,369
L0001382,2025-08-30,ChassisLine-1,B,P0021,S001,252,235
L0001383,2025-08-30,TrimLine-1,A,P0023,S004,359,258
L0001384,2025-08-30,Final-1,A,P0014,S003,274,244
L0001385,2025-08-30,ChassisLine-1,B,P0020,S006,162,136
L0001386,2025-08-30,Final-1,A,P0030,S009,483,423
L0001387,2025-08-30,BodyLine-2,A,P0031,S006,469,435
L0001388,2025-08-30,BodyLine-2,B,P0035,S005,241,195
L0001389,2025-08-30,BodyLine-2,A,P0007,S007,180,139
L0001390,2025-08-30,BodyLine-1,A,P0003,S007,368,292
L0001391,2025-08-30,Final-1,A,P0025,S010,311,233
L0001392,2025-08-30,BodyLine-2,B,P0019,S006,226,206
L0001393,2025-08-30,ChassisLine-1,A,P0022,S012,248,205
L0001394,2025-08-30,BodyLine-2,A,P0034,S006,494,360
L0001395,2025-08-30,TrimLine-1,A,P0029,S008,323,267
L0001396,2025-08-30,ChassisLine-1,C,P0028,S003,492,397
L0001397,2025-08-30,BodyLine-2,B,P0010,S005,164,120
L0001398,2025-08-30,Final-1,A,P0002,S010,288,220
L0001399,2025-08-30,BodyLine-1,C,P0016,S007,371,338
L0001400,2025-08-30,BodyLine-2,A,P0009,S011,212,196
L0001401,2025-08-30,ChassisLine-1,C,P0036,S003,313,255
L0001402,2025-08-30,TrimLine-1,A,P0011,S011,490,431
L0001403,2025-08-30,ChassisLine-1,A,P0032,S005,422,374
L0001404,2025-08-30,ChassisLine-1,B,P0013,S007,159,147
L0001405,2025-08-30,Final-1,A,P0012,S001,204,175
L0001406,2025-08-31,TrimLine-1,A,P0002,S010,270,227
L0001407,2025-08-31,ChassisLine-1,A,P0015,S008,507,487
L0001408,2025-08-31,Final-1,A,P0024,S002,170,159
L0001409,2025-08-31,BodyLine-1,C,P0026,S012,285,208
L0001410,2025-08-31,Final-1,B,P0012,S001,144,117
L0001411,2025-08-31,Final-1,A,P0004,S006,186,149
L0001412,2025-08-31,BodyLine-2,B,P0016,S007,135,101
L0001413,2025-08-31,Final-1,B,P0006,S009,261,206
L0001414,2025-08-31,BodyLine-1,A,P0035,S005,291,242
L0001415,2025-08-31,Final-1,A,P0018,S001,461,426
L0001416,2025-08-31,TrimLine-1,A,P0029,S008,153,146
L0001417,2025-08-31,BodyLine-2,A,P0019,S006,302,271
L0001418,2025-08-31,BodyLine-1,B,P0031,S006,135,101
L0001419,2025-08-31,BodyLine-1,A,P0033,S001,396,320
L0001420,2025-08-31,TrimLine-1,B,P0025,S010,120,92
L0001421,2025-08-31,BodyLine-2,A,P0003,S007,126,94
L0001422,2025-08-31,ChassisLine-1,B,P0021,S001,403,284
L0001423,2025-08-31,BodyLine-2,A,P0009,S011,151,120
L0001424,2025-08-31,Final-1,A,P0001,S001,416,327
L0001425,2025-08-31,ChassisLine-1,C,P0028,S003,400,325
L0001426,2025-08-31,ChassisLine-1,A,P0017,S001,413,360
L0001427,2025-08-31,ChassisLine-1,A,P0032,S005,123,113
L0001428,2025-08-31,Final-1,B,P0011,S011,354,291
L0001429,2025-08-31,ChassisLine-1,B,P0020,S006,225,185
L0001430,2025-09-01,TrimLine-1,C,P0025,S010,328,230
L0001431,2025-09-01,TrimLine-1,B,P0030,S009,149,125
L0001432,2025-09-01,ChassisLine-1,A,P0015,S008,349,306
L0001433,2025-09-01,TrimLine-1,B,P0024,S002,123,94
L0001434,2025-09-01,BodyLine-2,A,P0007,S007,313,275
L0001435,2025-09-01,BodyLine-2,B,P0034,S006,329,256
L0001436,2025-09-01,Final-1,A,P0027,S005,156,149
L0001437,2025-09-01,Final-1,B,P0002,S010,137,107
L0001438,2025-09-01,ChassisLine-1,A,P0008,S007,455,401
L0001439,2025-09-01,TrimLine-1,C,P0018,S001,123,93
L0001440,2025-09-01,BodyLine-2,C,P0033,S001,196,154
L0001441,2025-09-01,ChassisLine-1,B,P0020,S006,385,326
L0001442,2025-09-01,BodyLine-1,A,P0019,S006,408,390
L0001443,2025-09-01,BodyLine-2,B,P0005,S001,183,168
L0001444,2025-09-01,BodyLine-2,B,P0031,S006,146,130
L0001445,2025-09-01,BodyLine-2,A,P0009,S011,429,359
L0001446,2025-09-01,BodyLine-2,C,P0035,S005,284,237
L0001447,2025-09-01,Final-1,A,P0023,S004,311,232
L0001448,2025-09-01,BodyLine-2,A,P0026,S012,304,269
